order_id,customer_id,order_date,total_price,order_status,payment_method,transaction_id
71,553,2024-04-12,62.3,Canceled,PayPal,805
72,134,2024-10-24,80.77,Completed,PayPal,5
73,742,2024-12-28,100.72,Canceled,PayPal,639
74,54,2024-09-17,35.39,Processing,Credit Card,165
75,521,2024-08-08,157.64,Processing,Credit Card,117
76,116,2024-07-19,10.21,Completed,Credit Card,523
77,32,2025-03-10,196.27,Completed,PayPal,451
78,558,2024-02-26,50.99,Processing,PayPal,887
79,806,2025-02-18,196.18,Canceled,Credit Card,460
80,379,2024-12-26,140.96,Canceled,PayPal,732
81,746,2025-02-11,105.33,Completed,Credit Card,835
82,810,2023-05-23,158.3,Completed,Credit Card,924
83,2,2024-04-09,57.88,Completed,Credit Card,814
84,698,2024-05-25,121.8,Processing,PayPal,823
85,791,2024-11-13,195.04,Completed,PayPal,856
86,330,2024-06-09,171.41,Completed,PayPal,109
87,999,2023-11-02,163.91,Completed,PayPal,610
88,506,2023-12-24,55.73,Canceled,Credit Card,656
89,79,2025-01-20,140.85,Completed,Credit Card,281
90,154,2024-11-06,24.61,Canceled,Credit Card,263
91,439,2024-10-04,194.38,Completed,Credit Card,994
92,270,2023-08-09,142.56,Completed,PayPal,363
93,34,2024-05-07,150.67,Canceled,PayPal,516
94,66,2023-07-18,184.55,Canceled,PayPal,185
95,270,2024-07-31,180.82,Canceled,PayPal,821
96,557,2025-01-27,184.83,Canceled,PayPal,508
97,675,2024-09-28,55.64,Canceled,Credit Card,240
98,191,2024-07-19,78.76,Processing,Credit Card,517
99,97,2024-02-21,44.79,Canceled,Credit Card,508
100,147,2024-04-22,104.8,Canceled,PayPal,807
101,687,2023-08-10,35.97,Canceled,Credit Card,565
102,26,2024-10-30,114.45,Processing,PayPal,521
103,211,2024-05-06,1.45,Canceled,PayPal,80
104,532,2023-05-05,82.05,Completed,Credit Card,780
105,901,2024-12-17,89.81,Canceled,PayPal,102
106,656,2024-02-09,41.36,Completed,Credit Card,903
107,431,2025-02-11,103.95,Canceled,PayPal,387
108,293,2023-08-23,60.82,Completed,PayPal,511
109,25,2023-08-14,33.25,Canceled,PayPal,830
110,752,2023-11-10,172.96,Processing,Credit Card,162
111,213,2023-07-29,57.81,Processing,PayPal,794
112,808,2025-02-14,95.78,Completed,Credit Card,739
113,754,2023-04-30,152.26,Processing,PayPal,658
114,60,2025-02-16,198.26,Canceled,Credit Card,841
115,545,2024-08-12,31.33,Processing,PayPal,265
116,386,2024-02-04,174.08,Completed,PayPal,900
117,368,2025-03-01,78.14,Canceled,Credit Card,742
118,187,2024-02-21,1.83,Processing,Credit Card,702
119,532,2024-04-28,73.24,Processing,PayPal,826
120,931,2024-11-30,124.63,Completed,PayPal,622
121,430,2023-10-19,158.54,Completed,PayPal,601
122,186,2025-01-03,164.18,Processing,PayPal,68
123,465,2025-01-30,42.2,Processing,PayPal,553
124,566,2023-06-18,66.64,Canceled,Credit Card,904
125,991,2023-07-02,9.69,Completed,PayPal,398
126,362,2023-08-29,97.05,Completed,Credit Card,432
127,803,2024-12-31,146.82,Completed,Credit Card,394
128,750,2024-03-23,189.17,Completed,PayPal,793
129,538,2023-05-15,92.94,Completed,Credit Card,524
130,669,2023-07-28,111.37,Processing,Credit Card,123
131,744,2023-11-14,99.79,Canceled,PayPal,449
132,468,2023-12-31,36.43,Canceled,Credit Card,662
133,131,2023-11-23,190.72,Completed,Credit Card,505
134,467,2024-12-22,53.54,Completed,Credit Card,845
135,142,2023-11-29,137.28,Processing,Credit Card,802
136,875,2024-05-01,192.1,Completed,PayPal,915
137,93,2024-03-09,21.29,Completed,Credit Card,75
138,373,2024-07-03,54.8,Canceled,Credit Card,473
139,548,2024-11-15,45.62,Processing,Credit Card,425
140,876,2023-08-11,162.92,Completed,PayPal,701
141,171,2023-08-01,157.54,Processing,Credit Card,868
142,346,2024-12-06,37.65,Completed,PayPal,541
143,746,2024-06-08,159.67,Completed,Credit Card,103
144,556,2024-10-25,109.4,Canceled,PayPal,603
145,832,2024-04-15,165.55,Processing,Credit Card,443
146,994,2024-10-09,6.39,Processing,PayPal,644
147,149,2023-05-19,8.5,Canceled,Credit Card,128
148,759,2023-10-06,134.09,Canceled,Credit Card,525
149,298,2024-09-26,53.17,Processing,Credit Card,857
150,194,2024-03-27,65.96,Completed,Credit Card,438
151,174,2025-01-07,184.43,Canceled,Credit Card,4
152,823,2023-10-06,104.59,Canceled,PayPal,574
153,985,2024-08-19,138.74,Processing,Credit Card,331
154,642,2023-06-03,22.25,Processing,PayPal,470
155,575,2024-05-11,99.85,Canceled,Credit Card,851
156,273,2024-05-15,104.43,Canceled,PayPal,320
157,913,2024-10-16,176.27,Processing,Credit Card,609
158,572,2024-07-23,19.73,Processing,Credit Card,241
159,898,2024-09-18,151.06,Processing,PayPal,684
160,404,2023-11-09,32.68,Processing,Credit Card,656
161,206,2024-10-30,149.34,Processing,PayPal,892
162,261,2023-06-06,119.17,Canceled,Credit Card,310
163,720,2025-01-03,100.33,Processing,PayPal,131
164,771,2024-09-10,132.39,Completed,PayPal,667
165,698,2025-02-01,188.68,Canceled,Credit Card,834
166,575,2024-04-16,130.09,Canceled,Credit Card,386
167,876,2024-04-15,78.58,Completed,Credit Card,577
168,128,2023-11-26,40.85,Completed,PayPal,635
169,608,2024-06-02,130.97,Processing,Credit Card,496
170,928,2024-07-25,97.21,Canceled,PayPal,269
171,212,2024-04-24,79.75,Canceled,PayPal,486
172,433,2024-05-29,180.41,Canceled,Credit Card,754
173,862,2024-08-07,11.26,Processing,PayPal,226
174,426,2024-10-10,128.12,Canceled,PayPal,867
175,988,2024-02-25,111.67,Processing,PayPal,999
176,488,2023-12-14,148.59,Processing,Credit Card,429
177,657,2024-07-23,66.77,Canceled,Credit Card,279
178,589,2024-04-21,168.97,Canceled,PayPal,673
179,737,2023-11-07,145.16,Processing,Credit Card,189
180,450,2024-03-29,95.36,Canceled,PayPal,765
181,757,2024-10-08,182.88,Canceled,PayPal,179
182,453,2024-07-30,142.02,Canceled,Credit Card,735
183,710,2024-08-24,186.34,Processing,Credit Card,406
184,135,2024-04-02,48.81,Processing,Credit Card,606
185,651,2024-07-21,92.4,Canceled,PayPal,436
186,962,2025-01-24,122.6,Processing,Credit Card,38
187,460,2024-03-20,58.08,Completed,Credit Card,203
188,15,2023-12-27,165.72,Completed,PayPal,937
189,447,2023-12-03,11.82,Processing,PayPal,971
190,710,2023-07-06,80.21,Completed,PayPal,577
191,984,2023-11-11,185.52,Completed,Credit Card,766
192,174,2024-07-11,44.2,Canceled,Credit Card,609
193,316,2024-07-01,57.46,Completed,PayPal,377
194,194,2023-04-19,27.05,Processing,PayPal,31
195,634,2023-06-21,145.47,Canceled,PayPal,115
196,150,2024-04-01,50.74,Completed,PayPal,406
197,469,2024-05-03,132.0,Processing,PayPal,318
198,766,2024-12-08,37.11,Completed,Credit Card,571
199,453,2025-01-31,137.02,Canceled,PayPal,220
200,101,2023-06-23,128.81,Canceled,Credit Card,118
201,135,2023-09-30,147.85,Canceled,PayPal,800
202,229,2024-12-30,81.45,Completed,PayPal,419
203,70,2024-11-07,140.66,Processing,Credit Card,866
204,33,2024-01-17,163.07,Completed,PayPal,730
205,811,2025-01-06,185.75,Processing,Credit Card,484
206,163,2025-02-17,153.21,Completed,Credit Card,694
207,366,2023-12-15,31.63,Canceled,PayPal,566
208,771,2023-04-10,147.99,Processing,PayPal,735
209,175,2023-05-26,76.74,Processing,Credit Card,539
210,70,2024-02-18,128.98,Processing,PayPal,881
211,737,2023-08-06,103.79,Processing,Credit Card,465
212,620,2024-05-07,45.55,Canceled,Credit Card,249
213,738,2023-07-17,37.98,Processing,Credit Card,968
214,223,2024-03-31,199.36,Completed,PayPal,485
215,512,2023-09-03,142.82,Processing,Credit Card,875
216,320,2025-01-30,23.05,Canceled,Credit Card,629
217,61,2023-10-05,50.37,Canceled,PayPal,184
218,717,2024-11-05,146.75,Completed,Credit Card,665
219,43,2024-12-17,7.46,Processing,PayPal,15
220,204,2024-06-15,199.39,Processing,PayPal,184
221,256,2023-10-05,125.99,Processing,PayPal,704
222,487,2024-01-23,128.45,Completed,Credit Card,195
223,996,2024-11-16,141.67,Canceled,PayPal,748
224,254,2024-08-16,43.42,Canceled,Credit Card,957
225,291,2024-07-21,95.69,Canceled,Credit Card,580
226,619,2024-07-22,136.98,Processing,PayPal,490
227,799,2024-02-20,180.78,Completed,PayPal,981
228,602,2024-04-09,127.05,Completed,PayPal,587
229,286,2025-03-05,163.25,Processing,PayPal,225
230,607,2024-02-08,179.88,Completed,Credit Card,94
231,53,2024-01-01,118.07,Processing,Credit Card,470
232,339,2024-11-10,53.11,Completed,Credit Card,101
233,265,2024-08-06,34.34,Completed,PayPal,331
234,197,2024-10-19,121.65,Completed,PayPal,126
235,512,2023-09-28,174.41,Processing,PayPal,979
236,318,2024-10-12,57.74,Processing,PayPal,855
237,267,2023-11-29,20.36,Completed,Credit Card,615
238,609,2023-12-18,6.94,Completed,PayPal,540
239,664,2023-04-29,58.31,Completed,Credit Card,546
240,635,2024-05-05,41.59,Completed,PayPal,404
241,590,2024-11-08,91.03,Canceled,Credit Card,569
242,333,2023-07-16,97.03,Processing,PayPal,519
243,104,2023-06-10,112.95,Canceled,PayPal,355
244,686,2023-05-21,46.76,Canceled,Credit Card,53
245,388,2024-09-19,31.61,Canceled,PayPal,660
246,930,2024-08-14,28.53,Canceled,Credit Card,20
247,849,2024-08-23,43.01,Completed,PayPal,789
248,471,2024-04-30,113.61,Canceled,Credit Card,354
249,342,2023-04-08,144.0,Processing,Credit Card,43
250,380,2025-02-16,28.38,Processing,Credit Card,58
251,747,2023-12-22,20.77,Processing,Credit Card,177
252,185,2023-05-29,168.95,Canceled,Credit Card,536
253,333,2023-08-13,132.5,Completed,Credit Card,468
254,32,2024-08-15,32.27,Canceled,PayPal,973
255,647,2023-06-11,85.87,Canceled,Credit Card,689
256,280,2023-12-18,104.59,Canceled,Credit Card,517
257,615,2024-07-22,72.03,Completed,Credit Card,798
258,319,2024-06-10,137.34,Completed,PayPal,376
259,902,2024-06-28,193.13,Completed,Credit Card,234
260,546,2024-02-18,123.83,Canceled,Credit Card,89
261,251,2024-11-02,91.02,Completed,PayPal,754
262,852,2023-10-11,12.38,Completed,PayPal,722
263,795,2023-03-23,94.72,Processing,Credit Card,714
264,328,2023-08-02,128.42,Canceled,Credit Card,167
265,814,2024-01-02,179.8,Completed,PayPal,619
266,899,2024-10-21,158.45,Processing,Credit Card,651
267,177,2023-09-21,110.75,Canceled,Credit Card,737
268,311,2024-04-28,61.47,Canceled,Credit Card,133
269,654,2024-02-08,113.1,Completed,Credit Card,172
270,716,2024-12-04,51.12,Canceled,PayPal,166
271,541,2024-12-10,149.2,Processing,Credit Card,920
272,952,2023-12-29,8.04,Processing,Credit Card,126
273,756,2023-03-20,136.56,Canceled,PayPal,485
274,977,2023-04-12,107.12,Completed,PayPal,69
275,326,2024-10-28,20.49,Completed,Credit Card,862
276,27,2025-03-15,132.82,Processing,Credit Card,469
277,406,2023-12-18,82.59,Completed,Credit Card,910
278,686,2025-01-14,75.32,Canceled,PayPal,601
279,667,2023-09-21,130.49,Completed,Credit Card,898
280,830,2025-03-12,50.74,Canceled,Credit Card,110
281,691,2024-05-25,176.93,Canceled,PayPal,4
282,626,2024-03-11,163.08,Canceled,Credit Card,963
283,118,2024-11-28,162.95,Canceled,Credit Card,985
284,774,2024-07-19,130.65,Processing,Credit Card,556
285,434,2023-03-27,149.39,Completed,Credit Card,621
286,442,2024-09-23,98.14,Completed,PayPal,293
287,991,2024-01-25,183.47,Completed,PayPal,683
288,530,2023-07-24,66.92,Completed,Credit Card,573
289,442,2023-11-02,32.84,Canceled,PayPal,41
290,845,2024-07-01,125.9,Canceled,PayPal,598
291,159,2023-10-11,108.12,Processing,Credit Card,306
292,57,2024-07-20,28.4,Processing,Credit Card,243
293,542,2025-03-10,85.63,Completed,PayPal,646
294,230,2024-03-28,102.45,Completed,Credit Card,352
295,136,2023-11-22,52.14,Processing,PayPal,855
296,490,2023-12-21,171.48,Canceled,PayPal,635
297,433,2025-01-20,102.91,Processing,PayPal,400
298,749,2024-12-22,117.58,Processing,Credit Card,150
299,177,2023-11-16,104.5,Canceled,PayPal,75
300,299,2024-04-14,64.9,Processing,PayPal,74
301,124,2023-07-30,153.74,Processing,Credit Card,921
302,388,2023-10-25,32.35,Processing,Credit Card,123
303,945,2024-07-31,92.91,Completed,PayPal,37
304,461,2024-11-09,190.14,Processing,PayPal,924
305,568,2023-09-20,83.19,Processing,PayPal,122
306,658,2024-06-10,35.29,Completed,Credit Card,829
307,22,2023-09-25,51.67,Processing,PayPal,255
308,698,2024-10-18,106.49,Canceled,Credit Card,904
309,185,2025-02-14,39.98,Canceled,PayPal,255
310,499,2023-06-08,199.43,Processing,Credit Card,904
311,971,2023-11-16,67.58,Canceled,Credit Card,620
312,885,2023-11-14,188.2,Canceled,PayPal,419
313,930,2023-09-14,102.27,Completed,PayPal,564
314,892,2023-05-06,168.28,Canceled,PayPal,794
315,852,2023-07-30,80.06,Canceled,Credit Card,275
316,406,2024-09-27,103.97,Processing,Credit Card,900
317,972,2024-07-31,137.12,Processing,Credit Card,574
318,272,2024-10-09,164.28,Processing,Credit Card,381
319,960,2025-02-05,132.54,Completed,Credit Card,369
320,956,2023-06-03,175.88,Completed,Credit Card,220
321,522,2023-11-21,133.94,Canceled,Credit Card,241
322,170,2023-11-11,161.92,Completed,PayPal,244
323,43,2023-08-11,180.58,Completed,Credit Card,656
324,53,2023-05-05,3.58,Canceled,Credit Card,459
325,802,2025-01-26,57.68,Completed,PayPal,822
326,835,2024-04-15,103.96,Processing,PayPal,282
327,888,2023-07-22,70.29,Canceled,Credit Card,1
328,858,2024-02-09,193.08,Completed,PayPal,187
329,79,2025-01-13,66.15,Processing,PayPal,57
330,983,2023-04-13,95.3,Canceled,PayPal,569
331,324,2024-06-28,184.03,Canceled,PayPal,141
332,106,2023-04-17,98.29,Canceled,Credit Card,401
333,124,2024-11-19,171.36,Completed,PayPal,582
334,384,2024-03-25,154.97,Completed,Credit Card,690
335,277,2024-10-05,22.57,Completed,PayPal,590
336,170,2024-01-23,40.61,Canceled,Credit Card,751
337,884,2024-11-27,12.43,Processing,PayPal,88
338,985,2023-12-11,77.3,Processing,Credit Card,469
339,703,2024-09-01,181.93,Processing,PayPal,485
340,745,2024-10-06,127.29,Processing,Credit Card,357
341,787,2023-11-07,65.87,Completed,Credit Card,793
342,589,2025-02-25,197.23,Canceled,Credit Card,461
343,567,2024-12-30,74.29,Processing,Credit Card,810
344,881,2023-07-27,65.61,Canceled,Credit Card,993
345,422,2023-05-12,161.76,Processing,Credit Card,851
346,640,2025-01-10,31.43,Canceled,Credit Card,458
347,384,2024-04-11,17.26,Completed,PayPal,932
348,905,2024-09-03,49.7,Canceled,PayPal,938
349,935,2023-04-15,8.25,Completed,Credit Card,970
350,901,2024-07-29,27.32,Completed,Credit Card,466
351,231,2024-11-11,24.2,Completed,Credit Card,561
352,635,2024-05-25,17.99,Canceled,Credit Card,525
353,2,2023-12-17,71.43,Canceled,Credit Card,328
354,617,2024-02-12,177.34,Processing,Credit Card,890
355,643,2023-06-29,3.4,Canceled,PayPal,426
356,445,2024-06-16,60.95,Completed,Credit Card,303
357,125,2024-06-15,189.96,Canceled,Credit Card,916
358,678,2023-12-18,89.39,Canceled,PayPal,967
359,264,2025-02-20,163.78,Processing,Credit Card,950
360,25,2024-04-06,113.9,Processing,Credit Card,321
361,299,2024-11-03,5.2,Completed,Credit Card,278
362,506,2024-04-21,8.51,Canceled,Credit Card,901
363,2,2024-10-11,58.07,Completed,Credit Card,206
364,156,2023-12-12,155.66,Processing,Credit Card,656
365,947,2024-02-29,30.88,Canceled,PayPal,721
366,984,2024-02-28,85.61,Completed,Credit Card,491
367,782,2024-09-03,24.66,Completed,Credit Card,386
368,333,2023-11-16,199.06,Completed,PayPal,634
369,106,2024-10-06,45.98,Completed,Credit Card,624
370,921,2023-10-11,167.84,Completed,Credit Card,50
371,632,2023-07-30,147.7,Processing,Credit Card,511
372,140,2024-07-02,167.36,Completed,PayPal,181
373,32,2024-11-22,23.54,Processing,PayPal,403
374,302,2024-10-18,10.36,Processing,PayPal,514
375,832,2025-01-13,51.33,Completed,Credit Card,958
376,261,2025-01-07,1.49,Processing,PayPal,965
377,244,2025-03-09,191.09,Processing,PayPal,72
378,119,2024-03-31,96.66,Canceled,Credit Card,923
379,95,2023-10-06,191.77,Processing,Credit Card,480
380,502,2023-05-18,17.07,Canceled,PayPal,650
381,548,2024-02-14,114.0,Processing,PayPal,76
382,912,2024-07-24,139.93,Processing,Credit Card,399
383,679,2024-11-30,121.41,Processing,Credit Card,730
384,392,2023-05-02,65.76,Canceled,PayPal,333
385,931,2024-09-14,41.36,Processing,PayPal,385
386,146,2025-01-07,198.07,Canceled,PayPal,705
387,108,2024-06-17,112.62,Processing,PayPal,688
388,227,2023-05-20,99.39,Completed,PayPal,304
389,185,2023-04-13,176.19,Canceled,Credit Card,284
390,22,2024-06-29,184.03,Completed,Credit Card,961
391,526,2024-07-06,23.97,Processing,Credit Card,428
392,106,2024-11-16,128.82,Canceled,PayPal,296
393,484,2024-08-11,92.98,Canceled,Credit Card,284
394,660,2024-05-07,141.06,Processing,Credit Card,617
395,838,2024-04-04,141.2,Processing,Credit Card,830
396,219,2024-09-01,86.78,Canceled,PayPal,847
397,583,2025-01-19,131.74,Canceled,Credit Card,789
398,947,2024-01-05,90.43,Processing,PayPal,868
399,549,2023-08-27,33.94,Processing,Credit Card,279
400,310,2024-05-27,167.57,Processing,PayPal,842
401,926,2024-06-01,139.37,Canceled,PayPal,852
402,833,2024-02-27,187.82,Canceled,Credit Card,479
403,793,2023-04-09,50.7,Canceled,PayPal,263
404,519,2023-05-31,118.13,Completed,Credit Card,106
405,678,2023-07-11,179.47,Processing,PayPal,514
406,204,2023-11-12,156.82,Canceled,PayPal,37
407,315,2024-06-08,199.05,Canceled,Credit Card,906
408,923,2024-08-03,126.82,Canceled,Credit Card,965
409,613,2025-03-15,92.06,Canceled,Credit Card,410
410,223,2023-10-24,39.91,Canceled,Credit Card,451
411,1,2023-09-16,189.36,Completed,Credit Card,191
412,102,2024-03-26,70.45,Canceled,Credit Card,741
413,323,2024-03-02,30.02,Canceled,PayPal,21
414,463,2024-09-15,38.57,Canceled,PayPal,334
415,98,2024-09-05,167.07,Processing,PayPal,320
416,195,2023-04-25,22.59,Processing,Credit Card,782
417,817,2024-05-03,9.22,Canceled,PayPal,232
418,463,2023-05-20,91.16,Completed,Credit Card,640
419,843,2025-03-07,13.44,Completed,PayPal,672
420,873,2025-01-28,118.9,Canceled,PayPal,531
421,213,2024-09-30,132.29,Completed,PayPal,39
422,780,2025-01-31,130.74,Processing,Credit Card,696
423,353,2023-10-11,163.36,Processing,PayPal,57
424,227,2024-07-25,106.96,Completed,Credit Card,907
425,348,2023-06-16,176.56,Completed,Credit Card,184
426,934,2023-12-14,51.88,Completed,Credit Card,867
427,10,2023-07-04,96.52,Canceled,Credit Card,262
428,411,2023-08-24,172.53,Processing,Credit Card,823
429,123,2024-11-07,161.91,Completed,Credit Card,781
430,388,2023-06-10,86.69,Processing,PayPal,510
431,210,2023-09-30,160.8,Canceled,Credit Card,910
432,554,2024-06-11,33.21,Processing,Credit Card,209
433,2,2025-01-30,86.18,Completed,Credit Card,467
434,711,2025-01-23,87.78,Canceled,Credit Card,765
435,851,2023-09-14,146.03,Canceled,Credit Card,353
436,836,2024-02-28,158.91,Canceled,Credit Card,1
437,451,2023-09-21,170.93,Completed,Credit Card,639
438,364,2024-01-11,150.06,Canceled,PayPal,543
439,755,2024-10-13,102.31,Processing,PayPal,450
440,859,2024-10-06,38.03,Completed,Credit Card,257
441,7,2024-12-11,84.72,Canceled,Credit Card,597
442,651,2023-07-03,69.86,Completed,Credit Card,720
443,205,2023-09-10,54.47,Completed,PayPal,631
444,317,2023-07-08,113.02,Canceled,PayPal,924
445,396,2023-11-04,113.17,Canceled,PayPal,627
446,818,2024-06-14,170.57,Processing,Credit Card,692
447,969,2024-03-05,22.81,Processing,PayPal,470
448,919,2024-10-01,16.59,Completed,PayPal,142
449,342,2025-02-08,75.19,Canceled,Credit Card,939
450,999,2024-02-17,158.62,Processing,Credit Card,956
451,571,2024-03-24,23.58,Processing,Credit Card,392
452,983,2024-07-09,72.42,Completed,PayPal,404
453,545,2024-06-14,6.85,Processing,Credit Card,341
454,318,2023-08-31,136.17,Processing,PayPal,278
455,292,2024-09-12,33.88,Completed,Credit Card,472
456,288,2023-10-18,51.46,Processing,PayPal,374
457,479,2024-03-02,154.42,Completed,Credit Card,941
458,781,2024-11-25,53.46,Processing,Credit Card,839
459,474,2023-07-25,130.95,Completed,PayPal,482
460,554,2024-06-18,148.06,Processing,PayPal,528
461,102,2024-12-28,125.77,Processing,PayPal,142
462,919,2023-08-28,142.08,Completed,PayPal,198
463,441,2024-07-02,153.49,Processing,Credit Card,46
464,815,2025-02-27,153.99,Completed,PayPal,910
465,34,2023-12-16,143.53,Canceled,PayPal,351
466,544,2025-03-03,28.55,Canceled,PayPal,87
467,684,2023-06-21,132.01,Completed,PayPal,245
468,214,2024-11-19,138.89,Processing,PayPal,196
469,802,2023-04-01,109.38,Canceled,Credit Card,420
470,942,2023-06-03,6.42,Processing,PayPal,707
471,445,2023-07-31,36.26,Completed,Credit Card,70
472,926,2024-03-14,111.21,Canceled,Credit Card,666
473,575,2024-03-24,173.1,Canceled,PayPal,959
474,671,2023-06-30,152.51,Canceled,Credit Card,540
475,537,2024-03-10,70.3,Processing,Credit Card,41
476,479,2024-02-10,103.42,Processing,Credit Card,578
477,491,2024-12-23,195.98,Canceled,PayPal,500
478,619,2024-05-14,24.68,Canceled,Credit Card,106
479,634,2023-08-17,29.06,Canceled,PayPal,872
480,986,2023-03-23,90.05,Completed,PayPal,476
481,993,2024-11-06,178.55,Processing,PayPal,350
482,3,2023-05-15,132.89,Processing,Credit Card,639
483,710,2024-05-23,80.06,Completed,PayPal,981
484,647,2024-01-19,147.39,Completed,Credit Card,499
485,126,2024-01-08,186.46,Processing,Credit Card,39
486,451,2023-04-14,49.32,Processing,PayPal,904
487,528,2024-08-10,30.43,Completed,Credit Card,146
488,663,2023-07-31,106.85,Completed,Credit Card,667
489,861,2023-12-08,84.45,Processing,Credit Card,805
490,496,2024-09-18,71.27,Completed,Credit Card,675
491,226,2023-06-19,142.33,Completed,Credit Card,975
492,174,2024-11-11,18.87,Canceled,Credit Card,899
493,511,2024-04-11,164.14,Canceled,Credit Card,851
494,194,2023-10-03,107.02,Processing,Credit Card,725
495,196,2024-11-17,160.47,Completed,PayPal,369
496,224,2024-08-15,1.7,Canceled,Credit Card,887
497,483,2024-02-25,162.59,Completed,PayPal,841
498,239,2023-06-06,166.57,Processing,Credit Card,224
499,464,2023-07-06,178.03,Processing,PayPal,845
500,328,2024-08-27,106.65,Processing,PayPal,219
501,783,2025-01-18,119.47,Canceled,PayPal,493
502,162,2025-02-24,127.88,Canceled,PayPal,99
503,571,2024-04-23,99.93,Processing,PayPal,647
504,22,2023-12-07,178.88,Completed,PayPal,501
505,356,2023-09-28,70.89,Processing,PayPal,926
506,346,2024-12-31,123.26,Canceled,PayPal,785
507,135,2024-06-01,63.22,Processing,PayPal,352
508,912,2024-07-13,181.54,Processing,Credit Card,694
509,636,2024-08-02,1.06,Canceled,PayPal,867
510,481,2023-07-14,65.03,Completed,PayPal,489
511,243,2024-09-13,79.08,Processing,PayPal,139
512,913,2024-06-20,76.94,Completed,PayPal,20
513,509,2023-12-17,180.24,Processing,PayPal,729
514,515,2023-10-11,8.45,Canceled,PayPal,727
515,35,2024-03-30,194.52,Canceled,PayPal,695
516,956,2024-04-08,2.69,Processing,Credit Card,424
517,214,2024-02-25,174.44,Processing,Credit Card,120
518,351,2023-05-26,61.69,Processing,PayPal,889
