game_id,title,description,price,platform,genre,developer,stock_quantity,release_date
31,BLANDIT NAM NULLA,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",$44.51,Switch,Rhythm,Ruecker LLC,471,07/23/2009
32,PULVINAR SED NISL NUNC,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",$39.33,PS5,Fighting,Gulgowski-Brown,183,08/06/2021
33,TELLUS NISI EU,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",$8.21,Xbox,Stealth,"Lehner, Johns and Wilkinson",463,11/22/2006
34,VEL PEDE MORBI PORTTITOR LOREM,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",$37.59,PC,Action,Ortiz-Funk,284,06/26/2001
35,VELIT EU,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",$1.67,PC,Rhythm,"Lehner, Smitham and Berge",549,03/07/2011
36,AT LOREM INTEGER TINCIDUNT,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,$0.33,PS5,Fighting,Trantow LLC,456,09/30/2021
37,BIBENDUM,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,$8.24,PC,Horror,"Crooks, Jacobson and Donnelly",783,10/19/1995
38,ELEIFEND,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",$52.29,PS5,Adventure,"Baumbach, Osinski and Wuckert",182,08/29/1996
39,AENEAN,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",$59.64,PC,Survival,Considine Inc,605,05/28/2013
40,BLANDIT MI IN PORTTITOR,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",$57.08,PS5,Sports,"Parker, Stroman and Roberts",842,04/01/2024
41,SIT AMET,"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",$41.79,Switch,Role-playing,Bailey Inc,488,10/06/2022
42,VESTIBULUM ALIQUET ULTRICES ERAT TORTOR,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,$23.68,PS5,Role-playing,"Boyer, Huels and Steuber",258,09/02/1995
43,EU,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",$41.30,PS5,Role-playing,Smith-Kiehn,134,01/28/2002
44,LEO PELLENTESQUE ULTRICES MATTIS,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",$50.44,Switch,Racing,Wyman-Hills,204,03/25/2012
45,CONSEQUAT UT NULLA,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.",$29.39,Xbox,Stealth,Brown-Smitham,791,12/05/2001
46,ADIPISCING MOLESTIE HENDRERIT,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",$47.61,Xbox,Strategy,Waelchi-Schultz,887,04/11/1999
47,PRETIUM QUIS,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,$12.19,PC,Action,"Beier, Langworth and Beahan",526,11/21/2023
48,SIT AMET,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",$43.76,Xbox,Rhythm,Crist Inc,115,01/16/2011
49,NISI VULPUTATE NONUMMY,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",$59.52,Xbox,Survival,Bednar and Sons,581,03/11/2009
50,SIT,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,$44.73,Switch,Strategy,Rutherford Group,847,01/21/2004
51,FUSCE CONSEQUAT NULLA NISL NUNC,Nulla ut erat id mauris vulputate elementum. Nullam varius.,$29.70,PS5,Rhythm,Kassulke-McLaughlin,264,05/14/1998
52,NEQUE DUIS BIBENDUM MORBI,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",$9.03,PC,Sports,Padberg-Olson,518,09/12/2015
53,FACILISI CRAS NON VELIT,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",$6.00,Switch,Survival,Gottlieb-Labadie,174,09/03/1998
54,HABITASSE,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,$39.17,Switch,Adventure,Gottlieb-Morar,841,06/09/2003
55,METUS,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",$57.17,PS5,Horror,Windler LLC,421,05/31/1995
56,CUBILIA CURAE,Morbi non lectus.,$38.64,PS5,Stealth,Casper-Moen,881,11/10/2007
57,DOLOR,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",$42.47,Switch,Simulation,"Kub, Reynolds and Dietrich",271,07/20/1994
58,SED ACCUMSAN FELIS UT,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,$35.19,PC,Simulation,Hickle LLC,15,01/04/1999
59,SIT,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",$28.89,Xbox,Adventure,"Schuppe, Rempel and Oberbrunner",132,11/25/2018
60,ELIT AC NULLA SED,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",$11.55,PC,Puzzle,Hand-Mann,709,07/18/2011
61,MAECENAS RHONCUS ALIQUAM LACUS,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,$51.71,Xbox,Horror,Bartell-Mitchell,761,12/14/2007
62,IN SAGITTIS DUI VEL NISL,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",$29.40,PC,Racing,Bergnaum Inc,532,08/04/2020
63,CURABITUR IN LIBERO UT,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",$15.60,Switch,Stealth,Botsford-Kris,826,07/10/2011
64,ALIQUET,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",$11.17,PC,Puzzle,"Weissnat, Von and Cassin",161,12/30/1998
65,MAGNA BIBENDUM IMPERDIET NULLAM,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",$7.01,PC,Survival,Mertz-Fisher,422,07/21/2019
66,LEO,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",$14.82,PS5,Stealth,"Robel, Sanford and Crist",659,11/29/2023
67,MOLESTIE LOREM QUISQUE UT,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,$14.42,PC,Action,Brakus Group,210,05/13/1994
68,DOLOR SIT AMET,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",$21.21,Xbox,Role-playing,Weimann and Sons,607,05/22/2002
69,DICTUMST MAECENAS,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",$45.50,Switch,Adventure,Beahan-Roberts,601,12/03/2020
70,PLATEA,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",$5.89,Xbox,Strategy,Waelchi-Boehm,145,04/06/2023
71,MOLESTIE HENDRERIT AT,Phasellus in felis. Donec semper sapien a libero. Nam dui.,$30.89,PS5,Sports,Ernser-Reynolds,147,12/08/2002
72,NEQUE SAPIEN PLACERAT,Sed ante. Vivamus tortor.,$59.74,PC,Fighting,Carter-Purdy,133,02/13/2010
73,DUI LUCTUS,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",$57.14,Xbox,Fighting,Kulas Group,266,12/17/2004
74,AMET NUNC,Pellentesque eget nunc.,$7.46,Xbox,Adventure,"Hartmann, Olson and Kub",916,11/26/2024
75,ID JUSTO SIT AMET,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,$8.08,Xbox,Role-playing,Jast and Sons,761,01/13/2000
76,NULLA UT ERAT ID MAURIS,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",$33.40,PC,Action,Buckridge-Purdy,191,04/23/2003
77,TINCIDUNT,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",$10.45,PS5,Strategy,Bernier-Russel,295,07/27/2020
78,DICTUMST,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,$13.70,Xbox,MMORPG,Ziemann and Sons,439,10/25/2006
79,EST LACINIA NISI,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",$42.19,PC,Role-playing,Heaney Group,774,10/09/2002
80,EST DONEC ODIO,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",$45.88,Xbox,Racing,Weber Group,516,10/31/2023
81,NEQUE SAPIEN PLACERAT,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.",$21.66,Xbox,Racing,"Wilderman, Kub and Rippin",494,04/23/2010
82,TEMPUS,Aliquam erat volutpat.,$31.51,Switch,Platformer,"Funk, Erdman and Connelly",748,01/15/2001
83,DAPIBUS,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",$16.54,PC,Fighting,Vandervort-Boyer,600,11/06/2019
84,LOBORTIS EST,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",$20.06,Xbox,Strategy,"Waelchi, Langworth and Crist",684,06/19/1994
85,EGESTAS METUS AENEAN FERMENTUM DONEC,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",$50.37,Xbox,MMORPG,Jast-Rodriguez,995,07/06/1995
86,NISL DUIS,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",$12.57,PC,Puzzle,Von Inc,622,05/07/2021
87,ALIQUAM CONVALLIS,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,$47.10,Switch,Survival,Johnson-Prohaska,261,11/30/2003
